filename,model_name,model_version,ratio_above_truth,crps,crps_log1p,crps_norm,example_metric,mae,mape,sensitivity,specificity,outbreak_accuracy,coverage_10_90,coverage_25_75,rmse,sample_count,winkler_score_10_90,winkler_score_25_75,winkler_score_10_90_log1p,winkler_score_25_75_log1p
irs_baseline.nc,/Users/knutdr/Sources/mstl_multistep_model,unknown,0.4694945798522405,83.55027330863712,0.3252950467634672,0.007387292069729189,1641003.0206556623,113.30546300184093,51.01652112464838,0.5447223399745655,0.9552151835511529,0.8878374617311439,0.7568873852102465,0.4774563281088172,382.57881378717434,1448300.0,563.145091124048,373.0375409545026,2.1122152621846504,1.4618419947742922
irs_raw.nc,/Users/knutdr/Sources/mstl_multistep_model,unknown,0.47154871228336676,83.57861842407488,0.3246869486574527,0.007389798269148973,1642286.3535618298,113.39407260663052,51.1811737532904,0.546417973717677,0.9543827520186464,0.8874199833008628,0.7584064075122557,0.47800869985500244,383.7868553852871,1448300.0,563.2420833609893,372.8425319621832,2.109319983719036,1.4590529377150325
irs_features.nc,/Users/knutdr/Sources/mstl_multistep_model,unknown,0.47339294345094246,83.41967976889052,0.3222037575927157,0.007375745337656102,1640871.5828641932,113.29638768654237,51.00748439335856,0.5557439593047901,0.9545492383251477,0.8890898970219872,0.762273009735552,0.4803562797762894,384.3805902934347,1448300.0,562.3484267291309,372.28506860028466,2.092325051571371,1.4479509302123355
irs_hl8.nc,/Users/knutdr/Sources/mstl_multistep_model,unknown,0.4735206794172478,83.40838514077396,0.32228398607589664,0.00737474669679699,1639924.1487097703,113.23097070425811,51.035773394374445,0.5548961424332344,0.9544659951718971,0.8888811578068466,0.7615825450528205,0.48063246564938206,383.8029373092758,1448300.0,562.7737468849646,372.1152288490247,2.093766735491706,1.448186774654528
irs_leveldecay.nc,/Users/knutdr/Sources/mstl_multistep_model,unknown,0.4716564247738728,83.54455666010861,0.3238818084849575,0.007386786618930912,1641844.4748226814,113.36356244028732,51.03155498674497,0.5485375158965663,0.9544659951718971,0.8878374617311439,0.759442104536353,0.4798729544983774,384.1430249951013,1448300.0,563.1907461457951,372.80873535184634,2.1040654585064993,1.455290087643388
irs_sigma110.nc,/Users/knutdr/Sources/mstl_multistep_model,unknown,0.4747013740247187,83.83237813346874,0.3227174724660014,0.007412235025063549,1643369.740222303,113.46887662931043,51.068712807394014,0.5548961424332344,0.9543827520186464,0.8888115780684664,0.7996961955395981,0.5186080231996133,385.2010841223486,1448300.0,567.7806332071078,373.30465974216787,2.0892570213490593,1.4512589710096866
irs_veg.nc,/Users/knutdr/Sources/mstl_multistep_model,unknown,0.47984257405233727,83.90623222941949,0.3221139470158988,0.007418765007022058,1649654.951422432,113.90284826503017,51.48480015715456,0.5688851208139042,0.9504703238158662,0.8878374617311439,0.7609611268383623,0.48070151211765516,385.30443848541887,1448300.0,566.7862246791668,374.0055030692204,2.0937672363049464,1.4469209532537064
irs_leaf3.nc,/Users/knutdr/Sources/mstl_multistep_model,unknown,0.473473727818822,83.23108369279379,0.3221278807976414,0.007359070176197505,1636090.0344886247,112.96623865833216,51.03135299024213,0.556167867740568,0.9542162657121451,0.8888811578068466,0.7619277773941863,0.4821514879513913,383.49922669188567,1448300.0,561.9606002554863,371.3579579225731,2.0923282250417636,1.4472520485452238
irs_leaf2.nc,/Users/knutdr/Sources/mstl_multistep_model,unknown,0.47267002692812266,82.88648908104831,0.3224898782877039,0.007328602040764662,1629474.0678914185,112.50942953058195,51.03871085365138,0.556167867740568,0.9550486972446516,0.8895769551906485,0.7605468480287233,0.4814610232686598,381.444617303061,1448300.0,559.2747536731922,369.7033216972214,2.093232200584404,1.4486802685656213
