filename,model_name,model_version,crps_log1p,crps
tgtlag3_var.nc,/Users/knutdr/Sources/mstl_multistep_model,unknown,0.32002213899413084,82.88078543581747
irs_bank.nc,/Users/knutdr/Sources/mstl_multistep_model,unknown,0.3192527710860901,82.78968472894249
