time_period,location,rainfall_era5_lag1,rainfall_era5_lag2,rainfall_era5_lag3,rainfall_era5_lag4,rainfall_era5_lag5,rainfall_era5_lag6,mean_temperature_lag1,mean_temperature_lag2,relative_humidity_lag1,relative_humidity_lag2,relative_humidity_lag3,relative_humidity_lag4,loc_BzhJzdAGARk,loc_CSiOPKW1OQP,loc_EritxSJ4SVG,loc_Fczy0xwaJSy,loc_Gu5PQzqP3oc,irs_level,irs_decay,irs_since,irs_cumulative,tgt_lag1,tgt_lag2,tgt_lag3,_resid,in_mask
2013-01,BzhJzdAGARk,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,,,,0.003623399542802108,False
2013-01,CSiOPKW1OQP,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,,,,0.007825626230273386,False
2013-01,EritxSJ4SVG,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,,,,0.006199921473540648,False
2013-01,Fczy0xwaJSy,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,,,,0.0014974092075170642,False
2013-01,Gu5PQzqP3oc,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,,,,0.004806760944873645,False
2013-02,BzhJzdAGARk,109.91091832872169,,,,,,16.47139084562206,,73.45794658207518,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,3.623401354501282,,,-0.033626857781037245,False
2013-02,CSiOPKW1OQP,79.16628093730856,,,,,,20.203665239163225,,70.93775553899626,,,,0.0,1.0,0.0,0.0,0.0,0.6429,0.6429,0.0,0.6429,7.825630143085608,,,-0.15557878367154654,False
2013-02,EritxSJ4SVG,64.52820938360671,,,,,,21.807979542532383,,69.60370839705408,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,6.199924732534249,,,0.5223942437629754,False
2013-02,Fczy0xwaJSy,480.65294954950855,,,,,,13.539327957438521,,82.7104992126038,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,1.49741027700751,,,1.2454787769546263,False
2013-02,Gu5PQzqP3oc,277.5331691372636,,,,,,18.644345890766893,,76.24755494407532,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,4.806763731204175,,,0.38341867443882194,False
2013-03,BzhJzdAGARk,107.33718958296875,109.91091832872169,,,,,16.281572065717313,16.47139084562206,70.5688948169096,73.45794658207518,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,3.5897744967203895,3.623401354501282,,0.2143542476092284,False
2013-03,CSiOPKW1OQP,59.08431251409486,79.16628093730856,,,,,20.30668339419921,20.203665239163225,66.2455415145305,70.93775553899626,,,0.0,1.0,0.0,0.0,0.0,0.0,0.5406123053666131,1.0,0.6429,7.67005135941473,7.825630143085608,,-0.6409717654468006,False
2013-03,EritxSJ4SVG,56.48127518465387,64.52820938360671,,,,,21.856117841325162,21.807979542532383,65.64110765266378,69.60370839705408,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,6.735550354384794,6.199924732534249,,-0.044505979214001457,False
2013-03,Fczy0xwaJSy,298.14027410384745,480.65294954950855,,,,,13.297773317525571,13.539327957438521,78.03428768516376,82.7104992126038,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,2.98598106745008,1.49741027700751,,-1.2238502740107993,False
2013-03,Gu5PQzqP3oc,209.2829473185295,277.5331691372636,,,,,18.5704523823416,18.644345890766893,72.71095335937478,76.24755494407532,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,5.219601307400461,4.806763731204175,,0.05232553692212427,False
2013-04,BzhJzdAGARk,241.07338767074262,107.33718958296875,109.91091832872169,,,,15.899108664677506,16.281572065717313,76.19959483105958,70.5688948169096,73.45794658207518,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,3.804128744329618,3.5897744967203895,3.623401354501282,0.03133375628256063,False
2013-04,CSiOPKW1OQP,109.32782117345252,59.08431251409486,79.16628093730856,,,,19.949802212138255,20.30668339419921,69.96362585975355,66.2455415145305,70.93775553899626,,0.0,1.0,0.0,0.0,0.0,0.0,0.4545989496248314,2.0,0.6429,7.029079593967929,7.67005135941473,7.825630143085608,1.0867861997121233,False
2013-04,EritxSJ4SVG,128.01816055650966,56.48127518465387,64.52820938360671,,,,21.31122798191496,21.856117841325162,69.74258308915333,65.64110765266378,69.60370839705408,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,6.616595183050768,6.735550354384794,6.199924732534249,-0.2141164806982765,False
2013-04,Fczy0xwaJSy,806.2702711471975,298.14027410384745,480.65294954950855,,,,13.242866168121052,13.297773317525571,82.53433263241708,78.03428768516376,82.7104992126038,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,1.2584936446350794,2.98598106745008,1.49741027700751,,False
2013-04,Gu5PQzqP3oc,419.4055426214727,209.2829473185295,277.5331691372636,,,,18.315453104324206,18.5704523823416,76.10416856625199,72.71095335937478,76.24755494407532,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,5.333139323503595,5.219601307400461,4.806763731204175,-0.25058635878276725,False
2013-05,BzhJzdAGARk,195.70282175594298,241.07338767074262,107.33718958296875,109.91091832872169,,,16.049164198780545,15.899108664677506,75.07034023434777,76.19959483105958,70.5688948169096,73.45794658207518,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,3.8354625006121785,3.804128744329618,3.5897744967203895,-0.005122467477766346,False
2013-05,CSiOPKW1OQP,71.29504430787975,109.32782117345252,59.08431251409486,79.16628093730856,,,20.357824425774524,19.949802212138255,68.16254719330138,69.96362585975355,66.2455415145305,70.93775553899626,0.0,1.0,0.0,0.0,0.0,0.0,0.38227062711762466,3.0,0.6429,8.115865793680053,7.029079593967929,7.67005135941473,0.2011885735628347,False
2013-05,EritxSJ4SVG,114.61166781241441,128.01816055650966,56.48127518465387,64.52820938360671,,,21.493062678343577,21.31122798191496,70.25658183364615,69.74258308915333,65.64110765266378,69.60370839705408,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,6.333204130152662,6.616595183050768,6.735550354384794,0.2566814104238935,False
2013-05,Fczy0xwaJSy,451.3030355602924,806.2702711471975,298.14027410384745,480.65294954950855,,,13.28177859218011,13.242866168121052,80.30431755512876,82.53433263241708,78.03428768516376,82.7104992126038,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,,1.2584936446350794,2.98598106745008,-0.625984979331057,False
2013-05,Gu5PQzqP3oc,280.5277055151084,419.4055426214727,209.2829473185295,277.5331691372636,,,18.278680126848723,18.315453104324206,75.38602451884302,76.10416856625199,72.71095335937478,76.24755494407532,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,5.0253573986129565,5.333139323503595,5.219601307400461,0.30038749719919355,False
2013-06,BzhJzdAGARk,194.17499760588777,195.70282175594298,241.07338767074262,107.33718958296875,109.91091832872169,,15.91348220424088,16.049164198780545,73.89257543600147,75.07034023434777,76.19959483105958,70.5688948169096,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,3.830340033134412,3.8354625006121785,3.804128744329618,0.6975884937357337,False
2013-06,CSiOPKW1OQP,98.85329605869899,71.29504430787975,109.32782117345252,59.08431251409486,79.16628093730856,,19.84132483527167,20.357824425774524,68.7362507955862,68.16254719330138,69.96362585975355,66.2455415145305,0.0,1.0,0.0,0.0,0.0,0.0,0.32144999999999996,4.0,0.6429,8.317054367242887,8.115865793680053,7.029079593967929,-0.6660188222294359,False
2013-06,EritxSJ4SVG,106.7304257835873,114.61166781241441,128.01816055650966,56.48127518465387,64.52820938360671,,21.44147102758402,21.493062678343577,68.99070072521272,70.25658183364615,69.74258308915333,65.64110765266378,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,6.632661345418598,6.333204130152662,6.616595183050768,0.2000475022906416,False
2013-06,Fczy0xwaJSy,339.10943396153016,451.3030355602924,806.2702711471975,298.14027410384745,480.65294954950855,,13.038188604339961,13.28177859218011,79.36816604584267,80.30431755512876,82.53433263241708,78.03428768516376,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,1.1710737552132682,,1.2584936446350794,-0.14735110842765198,False
